Country,Year,Medal Rank,Lat,Lon,Gold,Silver,Bronze
Australia,2008.9333333333334,2.0,-35.26666667,149.13333300000002,0.3333333333333333,0.3333333333333333,0.3333333333333333
Austria,1986.025974025974,2.0995670995670994,48.2,16.366667,0.27705627705627706,0.3463203463203463,0.37662337662337664
Belarus,2009.3684210526317,1.8421052631578947,53.9,27.566667,0.42105263157894735,0.3157894736842105,0.2631578947368421
Belgium,1949.2,2.4,50.83333333,4.333333,0.2,0.2,0.6
Bulgaria,1998.3333333333333,2.3333333333333335,42.68333333,23.316667,0.16666666666666666,0.3333333333333333,0.5
Canada,1997.21608040201,1.9396984924623115,45.41666666999999,-75.7,0.36683417085427134,0.32663316582914576,0.3065326633165829
China,2006.8064516129032,2.129032258064516,39.91666667,116.38333300000001,0.20967741935483872,0.45161290322580644,0.3387096774193548
Croatia,2006.3636363636363,1.7272727272727273,45.8,16.0,0.36363636363636365,0.5454545454545454,0.09090909090909091
Czech Republic,2010.3870967741937,2.064516129032258,50.08333333,14.466667,0.2903225806451613,0.3548387096774194,0.3548387096774194
Czechoslovakia,1975.52,2.52,50.08333333,14.466667,0.08,0.32,0.6
Denmark,1998.0,2.0,55.66666667,12.583333,0.0,1.0,0.0
Estonia,2004.857142857143,1.5714285714285714,59.43333333,24.716667,0.5714285714285714,0.2857142857142857,0.14285714285714285
Finland,1974.8263473053892,2.1077844311377247,60.16666667,24.933333,0.25748502994011974,0.3772455089820359,0.3652694610778443
France,1991.516129032258,2.1370967741935485,48.86666667,2.333333,0.2903225806451613,0.28225806451612906,0.4274193548387097
Germany,1992.271002710027,1.89159891598916,52.51666667,13.4,0.3794037940379404,0.34959349593495936,0.27100271002710025
Great Britain,1978.5806451612902,2.161290322580645,51.5,-0.083333,0.3548387096774194,0.12903225806451613,0.5161290322580645
Hungary,1960.2857142857142,2.4285714285714284,47.5,19.083333,0.14285714285714285,0.2857142857142857,0.5714285714285714
Italy,1993.725806451613,2.064516129032258,41.9,12.483333,0.3225806451612903,0.2903225806451613,0.3870967741935484
Japan,2002.1379310344828,2.1379310344827585,35.68333333,139.75,0.2413793103448276,0.3793103448275862,0.3793103448275862
Kazakhstan,2002.5,2.375,51.16666667,71.416667,0.125,0.375,0.5
Latvia,2012.5,2.5,56.95,24.1,0.0,0.5,0.5
Liechtenstein,1984.6,2.4,47.13333333,9.516667,0.2,0.2,0.6
Luxembourg,1992.0,2.0,49.6,6.116667,0.0,1.0,0.0
Netherlands,1997.1076923076923,1.9692307692307693,52.35,4.916667,0.34615384615384615,0.3384615384615385,0.3153846153846154
New Zealand,2009.3333333333333,2.6666666666666665,-41.3,174.783333,0.6666666666666666,0.3333333333333333,0.0
North Korea,1978.0,2.5,39.01666667,125.75,0.0,0.5,0.5
Norway,1982.190735694823,1.9400544959128065,59.91666667,10.75,0.35967302452316074,0.3405994550408719,0.2997275204359673
Poland,2002.0,2.0454545454545454,52.25,21.0,0.3181818181818182,0.3181818181818182,0.36363636363636365
Romania,1968.0,3.0,44.43333333,26.1,0.0,0.0,1.0
Russia,2006.3971631205675,1.9645390070921986,55.75,37.6,0.3546099290780142,0.3262411347517731,0.3191489361702128
Slovakia,2013.0,1.75,48.15,17.116667,0.375,0.5,0.125
Slovenia,2009.5294117647059,2.4705882352941178,46.05,14.516667,0.11764705882352941,0.29411764705882354,0.5882352941176471
South Korea,2007.8857142857144,1.7571428571428571,37.55,126.983333,0.44285714285714284,0.35714285714285715,0.2
Soviet Union,1973.4845360824743,1.902061855670103,55.75,37.6,0.4020618556701031,0.29381443298969073,0.30412371134020616
Spain,2000.0,2.5,40.4,-3.683333,0.25,0.0,0.75
Sweden,1981.4556962025317,1.9873417721518987,59.333333329999995,18.05,0.36075949367088606,0.2911392405063291,0.34810126582278483
Switzerland,1987.092105263158,1.980263157894737,46.91666667,7.466666999999999,0.35526315789473684,0.3092105263157895,0.3355263157894737
Ukraine,2005.5,2.125,50.43333333,30.516667,0.375,0.125,0.5
Unified Team,1992.0,1.9565217391304348,53.9,27.566667,0.391304347826087,0.2608695652173913,0.34782608695652173
United States,1987.9016393442623,1.9508196721311475,38.9072,-77.0369,0.3442622950819672,0.36065573770491804,0.29508196721311475
Uzbekistan,1994.0,1.0,41.31666667,69.25,1.0,0.0,0.0
West Germany,1977.8461538461538,2.051282051282051,50.7374,7.098200000000001,0.28205128205128205,0.38461538461538464,0.3333333333333333
Yugoslavia,1987.0,2.25,43.85,18.25,0.0,0.75,0.25
